rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase
1.0,Reduced 5 stars to 1,"Dryer/Fire risk!  Previously  I wrote a lovely glowing review for this comforter.  Even tho it is a comforter I had covered it with a cotton duvet cover so this is the first time since my purchase that I have washed and tried to dry it. Per the website and the label I put in my dryer on the “low” setting. 3 minutes later while loading my washing machine a foot away I smelled something burning.  Too late I realized it was my comforter!  It’s also stuck to the inside of my dryer.  I’m a disabled veteran and I live on a fixed income so losing a purchase like this hits my pocket book pretty hard.  It is snowing in Colorado today or I would have hung this to dry, but alas I followed the seller’s website instructions and their label on the comforter.  Sadly, I see no warranty information at all.  The comforter was lovely. If you buy it do not try to dry it as per the instructions!",[],B0788DZ8Y7,B09KX3FZQS,AFKZENTNBQ7A7V7UXW5JJI6UGRYQ,1545115669044,115,True
5.0,Love it!,My favorite storage containers. All good.,[],B004171MQO,B00J10VZ2W,AFKZENTNBQ7A7V7UXW5JJI6UGRYQ,1523092290368,0,True
1.0,So matcha disappointment,"I bought this after reading a TON of reviews about different milk frothers/steamers so I could make at-home matcha lattes with oat milk. I settled on the Froth Labs frother/steamer after reading a blogger's post about this item and was initially so thrilled with it - but it stopped frothing and steaming the milk after a month. Instead, it just heated up the milk. I returned the item to Amazon, thinking this was probably just a one-off thing, and it was promptly replaced by another. Which just stopped working after 2 months. And then I started reading all the reviews by people having the same exact problem. Fortunately, Amazon refunded me the cost of it even though it was a week past its return-by date. Buyer beware! This is an expensive purchase for something that that might work for a couple of months - and I used mine just once per day, unplugging it every time between uses, and using exactly as instructed. *Sigh* now I am back on the hunt for a reliable frother/steamer.",[],B08GP9PFWG,B08GP9PFWG,AGGZ357AO26RQZVRLGU4D4N52DZQ,1644358432328,4,True
1.0,Broke with light use,"I bought these chairs in April 2020. Easy to assemble and very pretty. However, one of the legs broke in August 2020 after light use by one person (my husband) who weighs well beneath the weight limit specified for the chairs. He was able to rig the broken leg for a couple months but it just broke again. I contacted the company who told me the chair is out of warranty, and further, they do not have replacement legs in stock even for purchase. There is no reason at all this chair should have broken the way it did, but after reading several other reviewers' issues, I realize this is not an isolated problem. Would not recommend these to anyone unless you don't plan to sit on them.",[],B01M180BA6,B0C7DN7K4B,AGGZ357AO26RQZVRLGU4D4N52DZQ,1634836914978,0,True
5.0,Mesmerizing,Absolutely love mine! It's on my desk at work and even my staff love spinning it. 😁 I also purchased one for my sister as a gift. It's mesmerizing and beautiful. Very happy I bought it!,[],B08N9VZ9PJ,B08N9VZ9PJ,AGGZ357AO26RQZVRLGU4D4N52DZQ,1608501509941,2,True
5.0,Perfect mattress,"OK, we bought this mattress for our guest room, but now I'm wishing it was OUR mattress! It's seriously so perfect - I never actually thought about having a mattress delivered to the house without even trying it first, but the reviews are totally on point. This is a firm memory foam mattress and it puffed up completely in less than 5 minutes, had no strange odor, and was ready to go literally right out of the box. You will NOT regret buying this mattress!!!!",[],B0777K9RGX,B0BPBLYF85,AGGZ357AO26RQZVRLGU4D4N52DZQ,1578276993373,0,True
5.0,Great bed frame,Husband reports that the frame was easy to assemble and it's very sturdy! Would definitely recommend it! Great for storage below the bed too.,[],B07GX9RBN7,B0BJZ4Y8K1,AGGZ357AO26RQZVRLGU4D4N52DZQ,1578276798605,0,True
5.0,Great bar stools!,"These stools (we purchased the cherry color) are definitely worth the effort of assembling them! My husband, who's the pro in our house at putting together our impulse-buy Ikea finds, assembled both of these stools in about 1.5 hours. He said some of the legs were not properly labeled according to the instruction manual, and screwing the cross-pieces onto the legs was somewhat awkward. I don't think I would have had the patience for it, haha. However, once assembled (see pics) the stools were perfect! The cushions are comfortable, and the cross-pieces on the stool legs are the perfect place to rest your feet. All four legs of each stool sit flush to the floor with no rocking or unsteadiness. One of the reasons I liked these stools over other options is because there are no buttons or other studs that could be broken, pulled, or chewed off. Ha! I almost took off a star for the assembly process, but in the end, they're such great, solid stools that I'm sticking with 5 stars.","[{'attachment_type': 'IMAGE', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71KxUEMJqqL.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71KxUEMJqqL._SL800_.jpg', 'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71KxUEMJqqL._SL256_.jpg'}, {'attachment_type': 'IMAGE', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/816TKLs7MYL.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/816TKLs7MYL._SL800_.jpg', 'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/816TKLs7MYL._SL256_.jpg'}]",B005EUJ5O8,B079C5FPW8,AGGZ357AO26RQZVRLGU4D4N52DZQ,1460642286000,11,True
5.0,Unique and sturdy!,This is absolutely perfect! We're using it as an entry table. The unit arrived fully assembled and the quality is very good. I included a photo of it in real life. :-) It's a nice break from all the furniture we've had to assemble! It was a huge plus that this was on sale.,"[{'attachment_type': 'IMAGE', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71hDlsewwoL.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71hDlsewwoL._SL800_.jpg', 'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71hDlsewwoL._SL256_.jpg'}]",B00BLS0INE,B00BLS0INE,AGGZ357AO26RQZVRLGU4D4N52DZQ,1440082577000,48,True
5.0,Totally. Obsessed. With dehydrating food. Thanks to Nesco. :-),"This is really a great dehydrator - and so easy to use. I make homemade trail mix using strawberries, bananas, and apples. I sprinkle the apples with cinnamon sugar, and boy are those tasty. If you're into it, you can dehydrate vegetables to store and re-hydrate later on to use for soup.This model also makes beef jerky, so when I get around to doing that, I'll update this review! Seriously though, Nesco is a really well-known company and they make several different models of dehydrators. Depending on how heavy your usage, you really can't go wrong with this brand, no matter which model you decide on. I know a few people who also have Nesco dehydrators and have nothing but positive things to say about the company. My ONLY complaint is that I have no good place to store it because it's so large, but that's a personal problem, and doesn't reflect poorly on the function of the dehydrator. :-)",[],B000FFVJ3C,B0B69XTPVL,AGGZ357AO26RQZVRLGU4D4N52DZQ,1354676658000,1,True
5.0,Perfect for everything - minus stud earrings. :-),"I was really excited about this jewelry rack, and I couldn't have been more thrilled to see it hung on the wall. (Yep, hubs took care of that part. :-)) I researched quite a few storage solutions for jewelry and found several valet/racks that might fir the bill, but this one seemed to have the most versatility in terms of storage of different kinds of jewelry (bracelets, dangle earrings, long and short necklaces, hair ties, etc.) I love that the lower round racks actually spin in a circle  - great for storing long necklaces & for easy access! I use one of the upper horizontal bars to store my hair bands to keep the cats from getting them. The mesh screen is perfect for dangle earrings. I ALMOST gave this 4 stars instead of 5 because there is no solution for stud earrings. The designers thought of everything else but a tray that could hold miscellaneous baubles & earrings with posts. My solution to this was that I hung a small jewelry pouch from the valet and stored those earrings inside the pouch. It means I have to go rooting through the bag a lot, but really this jewelry valet is just perfect for storing everything else and it looks so cute on the wall. Since I really love it I decided to give it 5 stars, since it does exactly what it's advertised to do. My friends always compliment it and it's helped to keep me MUCH more organized. I posted a picture for you with all my stuff on it so you can see how I've organized everything. Good luck and I hope you like it as much as I do!","[{'attachment_type': 'IMAGE', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61yQhSJrCiL._SL1600_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61yQhSJrCiL._SL800_.jpg', 'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61yQhSJrCiL._SL256_.jpg'}]",B005D2Q482,B00SI2PUXE,AGGZ357AO26RQZVRLGU4D4N52DZQ,1354675277000,5,True
4.0,Future-bubble coffeemaker is mostly a winner!,"Hubs insisted on this coffee pot over the more traditional shaped percolators available. Why, you ask? Well, it just looks cool on the countertop. That said, the program function works great and he wakes up to fresh, hot coffee every day. I think the only downside to this product, if you can consider it a downside, is that since the carafe is so...well....ROUND, you have to tip it almost completely upside-down to pour out the last of the coffee. It doesn't spill or anything, it's just a little...awkward. Hence the removal of the 5th star on the review. If you can deal with the slightly awkward pouring of the carafe, then you have yourself a sleek and winning coffeepot that does what it promises - brews a heavenly cup of joe. Enjoy! (Side note - a friend came over this morning, took one look at the coffeepot, and said &#34;what is THAT?!&#34; in wide-eyed wonder). Haha!",[],B002FWQU3W,B002FWQU3W,AGGZ357AO26RQZVRLGU4D4N52DZQ,1354390111000,3,True
4.0,It works.,"I wanted a small, inexpensive entryway shoe rack, and that's what I received. It's not the best quality, and the cubbies are very small, but it works for what I wanted. My nursing shoes barely fit in one cube together, and my running shoes have to be in separate cubbies (as well as all of my husband's shoes). However, I knew this from previous reviews, and was OK with it. It's not worth a 5-star review, but since I knew what to expect, I wasn't really disappointed with it either. If you want something more sturdy (aka made out of real wood) and with better ""shoe holes"", you will pay more for it. If you don't have a gajillion large pairs of shoes, this product will probably work fine for you. I can fit 2 pairs of my size-6 summer sandals/flip flops in one cubby. Don't expect this thing to perform magic - it really is rather inexpensive compared to the other options out there.",[],B002IPG46Y,B0778KV29D,AGGZ357AO26RQZVRLGU4D4N52DZQ,1341922513000,0,True
5.0,Adorable Golden Ornament,"I was searching for the perfect Christmas tree ornament for my parents (yeah, I said it - Christmas tree, not holiday tree! Please don't sue me!) - and wasn't disappointed when I received this in the mail. It's well-crafted and really adorable, and has a decent weight to it without being too heavy for the tree. My parents will be thrilled with it!",[],B000ZN2NA2,B000ZN2NA2,AGGZ357AO26RQZVRLGU4D4N52DZQ,1290278747000,1,True
5.0,Reusable and versatile,"This was a great purchase with lots of versatility in how you can use it, bunting, banner etc. We ended up using over a swing chair as the birthday girls' rainbow throne. It was adorable and very easily reusable! Would buy again",[],B07N2WFP6L,B07N2WFP6L,AGKASBHYZPGTEPO6LWZPVJWB2BVA,1562599548161,0,True
4.0,Nice sparkly touch,Nice quality. A little pricey for the amount but also reusable if desired.,[],B01I3Q6BHS,B01I3Q6BHS,AGKASBHYZPGTEPO6LWZPVJWB2BVA,1485790505000,0,True
4.0,I like it!! Sweet and substantial in size...,Very cute ornament- it is also pretty large/substantial in size. I got this to commemorate a trip taken with a couple of my daughters and I am very happy with it for that purpose. Mine did come with a hairline crack/crazing toward the bottom but since I wasn't sure if I would return to get another with the same issue I just kept it. It isn't perfect painting/glitter wise but it's actually pretty good and hand painted blown glass ornaments almost never are &#34;perfect&#34;. Fingers crossed it doesn't break on me due to the small crack!!!,[],B00CBE65IE,B00CBE65IE,AGKASBHYZPGTEPO6LWZPVJWB2BVA,1485789915000,0,True
4.0,Cute,Very cute my kids loved that it lit up! Good price. We received the snowman not the santa as pictured.,[],B01AJKV5U4,B01AJKV5U4,AGKASBHYZPGTEPO6LWZPVJWB2BVA,1485789324000,0,True
2.0,Cute. BUT. Stuck together,These are cute but I worried and it happened as other reviewers stated quite a few were very stuck together and ruined them even gently trying to separate. The few that remained I just used decoratively since there weren't enough to use as invitations. Cute idea -yes but quality control or packaging by manufacturing site is flawed,[],B00E0NJB12,B00E0NJB12,AGKASBHYZPGTEPO6LWZPVJWB2BVA,1471551829000,1,True
5.0,Best Incense EVER. Hands-down. If You Like Rose.,"The first time I ever smelled this incense over ten years ago, I was at a guided meditation and felt transported to another realm. The scent is truly beautiful and attracts high vibrational energy. I had been looking for it since, then gave up.<br /><br />Then I found it here. Can I tell you when that Amazon box came, you would think it was a baby puppy.<br /><br />And it was everything I remembered. Two days later I brought it for a guy friend to experience and the reaction was, &#34;WOW. I would have to say this is my new favorite incense, too.&#34;<br /><br />It does have a very strong rose absolute oil scent with a hint of wood/cedar, or that's what it seems like to me. So if you don't like rose, don't do it. But if you've ever tried Stella McCartney's signature purple bottle perfume at Sephora when it came out almost a decade ago and liked that, you will LOVE this incense. Don't get me wrong, this scent is not feminine.<br /><br /> It is divine.",[],B00G6OU0ZO,B00G6OU0ZO,AG2L7H23R5LLKDKLBEF2Q3L2MVDA,1436792233000,16,True
5.0,Works great for woodburning,I used these rounds for woodburning art. I was very happy with the quality of wood and the overall final piece turned out great. I used all four pieces for wood-burning and was very happy.<br /><br />They are a rough cut so I had to sand them for my art. The size and bark and shape were great! I ordered 9”-11” rounds and received four 9” rounds.,"[{'attachment_type': 'IMAGE', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/C1-0wuSz5TS._SL1600_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/C1-0wuSz5TS._SL800_.jpg', 'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/C1-0wuSz5TS._SL256_.jpg'}]",B06Y5F1K7M,B0BZWVHCG7,AGCI7FAH4GL5FI65HYLKWTMFZ2CQ,1626370556131,4,True
4.0,Great slab - Not for wood burning/crafts,NOT for CRAFTS. If I was a “Karen” I might give this a one star. But the wood itself is beautiful and wonderful … my biggest problem is the center core of all of the slabs have a hole cut out and a plug of a different kind of wood grain in the center. For wood-burning I cannot use this.<br /><br />If it’s used as a centerpiece or some object is put on the center of the wood… then this would be a great product. If you’re using it for CRAFTS and want to show the whole wood grain under the art this is not the right wood as it shows the plug in the center.<br /><br />It was well packaged with tissue paper just not the right wood for my art.,"[{'attachment_type': 'IMAGE', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/C1yO79+t64S._SL1600_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/C1yO79+t64S._SL800_.jpg', 'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/C1yO79+t64S._SL256_.jpg'}]",B08N38NPMG,B093G2HRHQ,AGCI7FAH4GL5FI65HYLKWTMFZ2CQ,1626369636175,0,True
1.0,Pls fix this!!,Dries rice out in less than 24 hrs.  my last Zojirushi was absolutely fantastic. I bought it 15 years ago. It lasted about 13 years. I did not hesitate to buy another one. They missed the mark with the heating thing. I contacted customer service and they told me I need to push the extended warm button.  But we always forget because this wasn’t a thing with the last model.  The rice is very good fresh though. Just disappointing to waste so much rice.,"[{'attachment_type': 'IMAGE', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/91MDurFtOEL._SL1600_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/91MDurFtOEL._SL800_.jpg', 'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/91MDurFtOEL._SL256_.jpg'}]",B006W22KF8,B00EUC0F5O,AGCI7FAH4GL5FI65HYLKWTMFZ2CQ,1615570431211,1,True
5.0,beast,this thing is over the top legit.  we grind coffee for our company office.  we broke several grinders until we got this brute.  has been going strong sveral years.,[],B00XPRQZJ0,B013QHI5XW,AGCI7FAH4GL5FI65HYLKWTMFZ2CQ,1537210675333,0,False
